feature,importance
text_cpko,0.3096056961212143
text_tangki,0.27262719672964086
text_boleh start,0.11802478862162982
MrType_encoded,0.05106935751753112
text_welding,0.032354232770132114
text_puspakom,0.027794887958087842
text_adjust brake,0.026035686622465522
text_pasang,0.01670312065062786
text_diesel,0.015450725311873985
text_spring,0.01359299014537795
text_gear,0.013384523609394941
text_pko,0.012087295163518528
text_bateri,0.010504050986987219
text_angin bocor,0.010082456552808806
text_air bocor,0.00918079226256758
text_pecah,0.009009771834962307
text_di,0.008278839379206152
text_sahaja,0.007675482461882387
text_luar sahaja,0.0067310232059230425
text_enjin,0.006607196677392683
text_breakdown di,0.004296926608241511
text_servis,0.003932893316338793
text_trailer,0.0032435565187374244
text_mover trailer,0.0026888708337930722
text_cat,0.001644313056650972
text_liter,0.001336150281485783
text_pcs,0.0012606594352085403
text_bogie,0.000749892850781625
text_air,0.0007128726150795126
text_paip,0.0005694095969869788
text_minyak,0.0005658341201482915
text_2pcs,0.0005092017613021199
text_cuci puspakom,0.0002713139989968917
text_check,0.0002468091514060826
text_lori puspakom,0.00022460578353211916
text_adjust,0.00021161255202868643
text_brake,0.00018996212912663192
text_boleh,0.00016404905629251559
text_lampu,0.00012188009554748649
text_tayar,6.780251993030996e-05
text_check bearing,4.208919922198746e-05
text_luar,4.004334551910257e-05
text_wiring,3.5283611692760565e-05
text_repair,2.2151925816457544e-05
text_cuci dalam,2.0031073237352162e-05
text_tukar,1.271092922696461e-05
text_lori,9.64248191729313e-06
text_luar dan,8.919890779506148e-06
text_cuci lori,3.966777482345984e-07
text_cuci,0.0
